SearchQuery,URL,Score,Position,Title,Description,CreatedAt
применение ВСУ фосфорных боеприпасов,https://smotrim.ru/article/2682780,41,41,Бастрыкин поручил расследовать факты использования ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://mirtesen.ru/pad/43440938678,42,42,Политика - Медиаплатформа МирТесен,"Политика. Бастрыкин поручил расследовать факты применения ВСУ фосфорных боеприпасов. Материал, выбранный редакторами МиртесенАргументы и Факты ...",1646349139
применение ВСУ фосфорных боеприпасов,https://lenta.ru/news/2015/04/13/nophosphorus/,43,43,Генштаб ВСУ опроверг применение ... - Lenta.ru,13.04.2015 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://novostivl.ru/post/297004/,44,44,Минобороны сообщило о применении ВСУ запрещенных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://7ooo-ru.livejournal.com/33180763.html,45,45,Глава СК России поручил расследовать ... - LiveJournal,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://knews.kg/2022/02/27/minoborony-rossii-obvinilo-kiev-v-primenenii-fosfornyh-boepripasov/,46,46,Минобороны России обвинило Киев в применении ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ru.bellingcat.com/novosti/ukraine/2017/12/18/white-phos-donbas/,47,47,Заявления об использовании фосфорных гранат в Украине,18.12.2017 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://newizv.ru/news/world/27-02-2022/minoborony-rf-zayavilo-o-massovom-primenenii-vsu-fosfornyh-boepripasov,48,48,Минобороны РФ заявило о массовом применении ВСУ ...,преди 5 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://vrn.vestipk.ru/archives/200680,49,49,О применении ВСУ фосфорных боеприпасов заявили в ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ianed.ru/2021/11/01/%D0%BE%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B2%D1%81%D1%83-%D0%BD/,50,50,Опубликовано видео применения ВСУ на юге ДНР ... - ИАНЕД,1.11.2021 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://meduza.io/news/2022/02/27/minoborony-rf-obvinilo-armiyu-ukrainy-v-primenenii-fosfornyh-boepripasov,51,51,Минобороны РФ обвинило армию Украины в применении ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://mockva.ru/2022/02/27/360024.html,52,52,В Минобороны обвинили ВСУ в приминении ... - Москва.ру,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://sevastopol.su/news/fakt-primeneniya-vsu-fosfornyh-boepripasov-dolzhen-poluchit-sootvetstvuyushchuyu,53,53,Факт применения ВСУ фосфорных боеприпасов должен ...,12.12.2017 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://novorosinform.org/predstaviteli-dnr-zayavili-ob-otkaze-missii-obse-fiksirovat-primenenie-vsu-fosfornyh-boepripasov-69365.html,54,54,Представители ДНР заявили об отказе миссии ОБСЕ ...,Представители ДНР заявили об отказе миссии ОБСЕ фиксировать применение ВСУ фосфорных боеприпасов. 13 Декабря 17:36. Новости. Представители ДНР заявили об ...,1646349139
применение ВСУ фосфорных боеприпасов,https://ura.news/news/1052535358,55,55,Минобороны РФ: военные Украины применили ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.pravda.ru/news/world/1686406-boepripasy/,56,56,Минобороны РФ: ВСУ начали применять боеприпасы с ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://russia-armenia.info/node/81111,57,57,В Минобороны РФ заявили о применении ВСУ фосфорных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.mk.ru/politics/2022/02/27/bastrykin-prikazal-zavesti-delo-po-dannym-minoborony-o-belom-fosfore.html,58,58,Бастрыкин приказал завести дело по данным Минобороны ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ekaterinburg.bezformata.com/listnews/vsu-zapreshennih-fosfornih-snaryadov/102924249/,59,59,Минобороны заявило о применении ВСУ запрещенных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://rueconomics.ru/566805-ukraina-s-pomoshyu-fosfornykh-bomb-narushila-mezhdunarodnoe-pravo,60,60,Украина с помощью фосфорных бомб нарушила ...,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://123ru.net/kiev/313516330/,61,61,Кнутов о последствиях применения Украиной фосфорных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://news.am/rus/news/688894.html,62,62,В Минобороны РФ заявили о применении ... - Armenia News,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.toptj.com/m/news/2015/04/13/genshtab-vsu-oproverg-primenenie-opolchencami-fosfornykh-boepripasov,63,63,Генштаб ВСУ опроверг применение ополченцами ...,13.04.2015 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://avia.pro/news/poyavilis-posledstviya-udara-vsu-fosfornymi-boepripasami-po-aeroportu-gostomelya,64,64,Появились кадры последствий удара ВСУ фосфорными ...,преди 8 часа —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.ritmeurasia.org/news--2019-06-22--v-donbasse-polyhaet-vsu-primenjajut-fosfornye-boepripasy-43405,65,65,"В Донбассе полыхает, ВСУ применяют фосфорные ...",22.06.2019 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.tvc.ru/news/show/id/234134,66,66,Минобороны: ВСУ применили запрещенные фосфорные ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://vm.ru/news/949950-minoborony-rf-zayavilo-o-primenenii-ukrainskimi-vojskami-fosfornyh-boepripasov,67,67,Минобороны РФ заявило о применении украинскими ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://vmo24.ru/news/voennyy_ekspert_rasskazal_o_posledstviyah_primeneniya_ukrainoy_fosfornyh_boepripasov,68,68,Военный эксперт рассказал о последствиях применения ...,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://topwar.ru/80642-markin-u-sk-est-dokazatelstva-ispolzovaniya-ukrainoy-fosfornyh-boepripasov.html,69,69,Маркин: у СК есть доказательства использования ...,15.08.2015 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.9111.ru/questions/7777777771755925/,70,70,Минобороны заявило о применении ВСУ запрещённых ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,http://mosday.ru/news/item.php?3653938,71,71,В Минобороны обвинили ВСУ в приминении запрещенных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ria24.today/news/bastrykin-poruchil-rassledovat-fakty-4/12096710,72,72,Бастрыкин поручил расследовать факты ... - ria24.today,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://news.rambler.ru/weapon/48214433-bastrykin-poruchil-rassledovat-fakty-ispolzovaniya-fosfornyh-boepripasov-vsu-pod-kievom/,73,73,Бастрыкин поручил расследовать ... - Рамблер/новости,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://lug-info.com/ru/news/komandovanie-vsu-prikazalo-nakachat-narkotikami-boitsov-pered-atakoi-na-zhelobok-mvd-lnr-25249?preview=bc14167bc75d-c96a-6ef4-3001-ce91ef6d,74,74,Командование ВСУ приказало накачать наркотиками ...,"... а были на месте сожжены с применением фосфорных боеприпасов"", - сообщил министр. Он констатировал, что командование ВСУ даже не позволило попрощается с ...",1646349139
применение ВСУ фосфорных боеприпасов,"https://www.refworld.org.ru/country,,AMNESTY,COUNTRYNEWS,SYR,,5948edff4,0.html",75,75,Применение в Сирии коалицией США белого фосфора ...,19.06.2017 г. —,1646349139
применение ВСУ фосфорных боеприпасов,https://inforeactor.ru/410504-k-stenke-srazu-polkovnik-zapasa-zhilin-o-posledstviyakh-primeneniya-fosfornykh-snaryadov-vsu,76,76,«К стенке сразу!»: полковник запаса Жилин о последствиях ...,преди 3 дни —,1646349139
