SearchQuery,URL,Score,Position,Title,Description,CreatedAt
падение Киева,https://was.media/2017-08-14-kiev-mongoly/,82,82,"6 причин, почему монголы смогли захватить Киев - Was ...",14.08.2017 г. —,1646349144
падение Киева,https://otr-online.ru/news/predstavitelstvo-es-evakuirovano-iz-kieva-193420.html,83,83,Представительство ЕС эвакуировано из Киева | Новости,преди 6 дни —,1646349144
падение Киева,https://kyiv.depo.ua/rus/kyiv/u-kievi-na-khreshchatiku-cholovik-zaginuv-pislya-padinnya-z-vikna-foto-202106241337399,84,84,В Киеве на Крещатике мужчина погиб после падения из ...,24.06.2021 г. —,1646349144
падение Киева,https://ipnet.ua/ru/rates/tv,85,85,〚Подключить цифровое телевидение в Киеве〛Цифровое ...,"от 55,00 UAH до 120,00 UAH",1646349144
падение Киева,https://www.m-zharkikh.name/ru/History/Monographs/Essays/FallKyiv1482/Tactics.html,86,86,Жарких Н. И. Падение Киева в 1482 г. – Тактика нападения,"Падение Киева в 1482 г. Тактика нападения. Николай Жарких. Оказалось, что одного только грозного вида городень и башен недостаточно для отпугивания врага, ...",1646349144
падение Киева,https://www.ukrinform.ru/rubric-uarazom/3401031-vsem-kto-verit-v-padenie-kieva-za-tri-dna-otvecaem-ne-dozdetes.html,87,87,"Всем, кто верит в «падение Киева за три дня» – отвечаем","Всем, кто верит в «падение Киева за три дня» – отвечаем: не дождетесь! 10.02.2022 10:00. Укринформ. Для оккупанта поход на украинскую столицу станет началом ...",1646349144
падение Киева,https://bta.bg/bg/news/world/226402-rusnatsite-prevzeha-voenno-letishte-blizo-do---razpolozheno-na-praga-na-kiev--po,88,88,Руснаците превзеха военно летище близо до Киев ... - БТА,преди 8 дни —,1646349144
падение Киева,https://vsitury.com.ua/ru/offer/14388,89,89,Майорка из Киева 10.07 падение цен!!,"Майорка из Киева 10.07 падение цен!! Вылет 10 июля с Киева. Цена указана за человека при двухместном размещении. Antares 1*, Standard Room, 5 ночей -4550 ...",1646349144
падение Киева,https://apostrophe.ua/news/kyiv/podii/2022-02-25/padenie-rossiyskogo-samoleta-v-kieve-chislo-postradavshih-mirnyih-jiteley-vozroslo-foto/260444,90,90,"число пострадавших мирных жителей возросло, фото",преди 7 дни —,1646349144
падение Киева,https://echo.msk.ru/news/2985429-echo.html,91,91,"Мэр Киева Кличко разместил кадры, предположительно, с ...",преди 7 дни —,1646349144
падение Киева,https://books.google.bg/books?id=gVnQAAAAQBAJ&pg=PT258&lpg=PT258&dq=%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5+%D0%9A%D0%B8%D0%B5%D0%B2%D0%B0&source=bl&ots=VwIVmNQnQA&sig=ACfU3U0BiBNGqTIPPH9sIZX1wu-kuwLciw&hl=bg&sa=X&ved=2ahUKEwjstYe_iKv2AhVlpYsKHYlGA8QQ6AF6BQizAhAD,92,92,Сборник рефератов по истории. 10 класс,,1646349144
падение Киева,https://books.google.bg/books?id=z5GyBwAAQBAJ&pg=PT181&lpg=PT181&dq=%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5+%D0%9A%D0%B8%D0%B5%D0%B2%D0%B0&source=bl&ots=0bmx4S_aLG&sig=ACfU3U2c6LF0YtOTAaEjTkaaCCpRusJ6ZQ&hl=bg&sa=X&ved=2ahUKEwjstYe_iKv2AhVlpYsKHYlGA8QQ6AF6BQixAhAD,93,93,Киевской Руси не было. О чём молчат историки,,1646349144
падение Киева,https://www.dp.ru/a/2022/02/25/Minoboroni_RF_objavilo_o,94,94,Минобороны РФ объявило о блокировке Киева с западной ...,преди 7 дни —,1646349144
падение Киева,https://books.google.bg/books?id=Tb5eAAAAQBAJ&pg=PT44&lpg=PT44&dq=%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5+%D0%9A%D0%B8%D0%B5%D0%B2%D0%B0&source=bl&ots=2inRnJ_BCB&sig=ACfU3U3oQkmd307KDomhHRL3z6NmnSRqsg&hl=bg&sa=X&ved=2ahUKEwjstYe_iKv2AhVlpYsKHYlGA8QQ6AF6BQiyAhAD,95,95,Евразийство между империей и модерном,,1646349144
